Luka Luka ? Night Fever;4.5
Lucid Dreaming;4.5
Leia;5.5
Rolling Girl;5
1/6 -out of the gravity-;4
Rosary Pale;4.5
Roshin Yukai;4
Romeo and Cinderella;5
World's End Umbrella;4
World's End Dance Hall -Live Dance Edition-;5
The World is Mine;5.5
